pulse;butterworth;filter
0;901;340
0;785;0
0;592;0
1023;401;340
1023;293;681
1023;347;1021
1023;503;1021
1023;671;1021
1023;804;1021
0;894;681
0;892;340
0;757;0
0;560;0
1023;375;340
1023;291;681
1023;366;1021
1023;529;1021
1023;694;1021
1023;821;1021
0;902;681
0;878;340
0;728;0
0;528;0
1023;351;340
1023;293;681
1023;389;1021
1023;557;1021
1023;716;1021
1023;836;1021
0;907;681
0;862;340
0;697;0
0;497;0
1023;332;340
1023;300;681
1023;413;1021
1023;584;1021
1023;738;1021
1023;851;1021
0;909;681
0;842;340
0;666;0
0;467;0
1023;316;340
1023;310;681
1023;438;1021
1023;609;1021
1023;758;1021
0;864;681
0;909;340
0;822;0
0;639;0
1023;443;340
1023;304;681
1023;323;1021
1023;464;1021
1023;634;1021
1023;777;1021
0;877;681
0;904;340
0;797;0
0;607;0
1022;414;340
1023;296;680
1023;339;1021
1023;491;1021
1023;660;1021
1023;795;1021
0;889;681
0;896;340
0;770;0
0;574;0
1023;387;340
1023;292;681
1023;358;1021
1023;517;1021
1023;683;1021
1023;813;1021
0;898;681
0;884;340
0;739;0
0;542;0
1023;362;340
1023;292;681
1023;380;1021
1023;545;1021
1023;707;1021
1023;829;1021
0;905;681
0;869;340
0;710;0
0;510;0
1023;340;340
1023;297;681
1023;402;1021
1023;571;1021
1023;729;1021
1023;844;1021
0;909;681
0;850;340
0;679;0
0;479;0
1023;321;340
1023;305;681
1023;428;1021
1023;598;1021
1023;750;1021
0;859;681
0;909;340
0;830;0
0;653;0
1023;455;340
1023;309;681
1023;317;1021
1023;453;1021
1023;624;1021
1023;770;1021
0;873;681
0;907;340
0;808;0
0;621;0
1023;426;340
1023;298;681
1023;332;1021
1023;479;1021
1023;649;1021
1023;788;1021
0;884;681
0;900;340
0;782;0
0;588;0
1023;398;340
1023;293;681
1023;350;1021
1023;506;1021
1023;673;1021
1023;806;1021
0;894;681
0;889;340
0;753;0
0;555;0
1023;372;340
1023;291;681
1023;370;1021
1023;534;1021
1023;698;1021
1023;823;1021
0;903;681
0;876;340
0;722;0
0;523;0
1023;349;340
1023;295;681
1023;392;1021
1023;560;1021
1023;720;1021
1023;839;1021
0;907;681
0;859;340
0;692;0
0;492;0
1023;330;340
1023;301;681
1023;417;1021
1023;587;1021
1023;741;1021
1023;854;1021
0;909;681
0;838;340
0;660;0
1023;462;340
1023;312;681
1023;314;1021
1023;448;1021
1023;619;1021
1023;765;1021
0;869;681
0;908;340
0;812;0
0;628;0
1022;432;340
1023;301;680
1023;328;1021
1023;474;1021
1023;644;1021
1023;784;1021
0;881;681
