pulse;butterworth;filter
0;615;213.52
1023;431;56.95
1023;305;-119.96
1023;314;-258.23
1023;435;-308.79
1023;593;-251.63
1023;735;-106.24
1023;842;74.33
0;907;227.09
0;871;301.93
0;726;274.49
0;536;154.55
1023;365;-17.37
1023;292;-185.25
1023;355;-291.76
1023;501;-297.65
1023;656;-199.14
1023;785;-31.26
0;876;144.92
0;907;269.97
0;820;302.95
0;647;233.27
1023;460;85.65
1023;318;-91.63
1023;303;-240.02
1023;411;-307.31
1023;568;-267.57
1023;714;-133.97
1023;827;45.04
0;900;206.03
0;886;296.07
0;755;285.73
0;568;178.94
1023;390;12.27
1023;294;-160.15
1023;338;-279.97
1023;475;-303.79
1023;632;-221.21
1023;766;-61.31
0;863;117.67
0;909;254.40
0;842;304.19
0;678;250.72
0;490;113.24
1023;334;-62.79
1023;296;-219.77
1023;388;-303.04
1023;541;-281.25
1023;691;-160.85
1023;811;14.88
0;892;182.92
0;897;287.56
0;782;294.59
0;600;202.02
1023;417;42.05
1023;300;-133.52
1023;321;-265.96
1023;449;-307.63
1023;607;-241.67
1023;746;-91.05
1023;849;89.30
0;909;236.95
0;862;303.50
0;709;266.93
0;520;140.51
1023;354;-33.23
1023;291;-197.80
1023;367;-296.46
1023;515;-292.70
1023;669;-186.19
1023;794;-15.03
0;882;158.70
0;904;276.75
0;807;300.61
0;631;222.69
1023;444;70.30
1023;310;-106.72
1023;309;-249.79
1023;425;-308.03
1023;581;-258.96
1023;726;-118.97
1023;835;60.94
0;904;217.57
0;878;299.44
0;739;279.63
0;551;165.59
1022;376;-3.94
1023;292;-173.96
1023;347;-286.71
1023;489;-300.76
1023;645;-209.45
1023;776;-45.07
0;870;132.52
0;909;263.14
0;831;304.07
0;662;241.90
0;473;98.73
1023;325;-78.26
1023;299;-231.01
1023;400;-305.98
1023;555;-274.66
1023;704;-146.89
1023;819;30.99
0;897;195.62
0;891;292.59
0;768;290.25
0;583;189.98
1023;402;26.20
1023;296;-147.95
1023;330;-273.81
1023;463;-305.90
1023;620;-231.03
1023;756;-75.31
0;857;104.47
0;909;246.46
0;852;304.19
0;693;258.66
0;503;126.20
1023;343;-48.93
1023;294;-209.61
1023;378;-300.21
1023;529;-286.84
1023;681;-172.73
1023;803;1.02
0;888;171.90
0;901;282.89
0;794;297.69
0;614;211.84
1023;430;55.30
1023;303;-121.31
1023;316;-258.87
1023;438;-308.25
1023;596;-249.88
1023;737;-103.82
1023;843;76.60
0;907;228.47
0;870;302.00
0;723;273.00
0;534;151.94
1023;364;-19.98
1023;292;-187.09
1023;357;-292.26
1023;503;-296.73
1023;658;-197.15
1023;785;-29.08
0;877;146.57
0;906;270.47
0;819;302.34
0;646;231.89
1022;457;83.80
1023;316;-93.47
1023;303;-241.40
1023;413;-307.69
1023;569;-266.92
1023;716;-132.31
1023;829;47.20
0;901;208.09
0;885;297.26
0;752;285.35
0;565;177.14
1023;388;9.73
1023;293;-162.57
1023;339;-281.47
1023;477;-303.67
1023;634;-219.53
1023;767;-58.82
0;864;120.01
0;909;255.82
0;841;304.38
0;677;249.84
0;487;111.51
1023;333;-64.71
1023;297;-221.15
1023;389;-303.46
1023;544;-280.44
1023;694;-158.88
1023;812;17.25
0;893;184.91
0;896;288.41
0;780;293.86
0;597;199.99
1023;415;39.37
1023;299;-136.05
1023;323;-267.26
1023;450;-307.44
1023;608;-240.30
1023;748;-88.89
1023;851;91.53
0;909;238.52
0;861;303.92
0;707;266.17
0;518;138.86
1023;352;-35.26
1023;292;-199.56
1023;368;-297.27
1023;516;-292.25
1023;671;-184.65
1023;795;-13.11
0;883;160.39
0;904;277.68
0;805;300.42
