pulse;butterworth;filter
1023;390;778.14
1023;293;725.63
1023;337;634.30
1023;474;535.40
1023;631;463.48
1023;766;443.62
0;863;481.93
0;910;564.72
0;844;663.86
0;681;745.82
0;491;783.16
1023;335;763.22
1023;295;692.01
1023;386;593.37
1023;539;501.47
1023;690;448.50
1023;809;452.63
0;891;511.56
0;898;604.85
0;786;700.87
0;604;767.26
1023;421;781.95
1023;300;739.51
1023;319;653.60
1023;444;553.41
1023;601;473.80
1023;741;442.59
1023;846;469.97
0;908;545.87
0;866;644.36
0;717;732.13
0;528;779.75
1023;359;771.27
1023;291;708.87
1023;360;613.17
1023;508;517.18
1023;663;454.58
1023;789;447.11
0;879;496.50
0;906;585.43
0;816;683.71
0;641;758.10
1022;454;783.84
1023;314;751.96
1023;304;672.50
1023;416;572.30
1023;571;486.12
1023;718;444.16
1023;829;460.54
0;902;528.86
0;884;625.60
0;751;718.03
0;564;775.04
1023;387;777.64
1023;291;724.34
1023;339;632.57
1023;477;533.77
1023;634;462.49
1023;767;443.58
0;864;482.81
0;911;566.23
0;843;665.49
0;678;747.03
0;488;783.56
1022;332;762.70
1023;294;690.69
1023;387;591.60
1023;540;499.70
1023;692;447.21
1023;810;452.13
0;892;511.85
0;898;605.66
0;784;701.78
0;600;767.77
1023;418;781.71
1023;300;738.50
1023;320;652.10
1023;447;551.94
1023;604;472.93
1023;743;442.69
1023;849;471.12
0;908;547.75
0;865;646.40
0;714;733.74
0;525;780.51
1023;357;771.01
1023;291;707.76
1023;363;611.72
1023;510;515.98
1023;665;454.12
1023;790;447.53
0;880;497.65
0;906;586.90
0;813;684.98
0;639;758.77
1022;452;783.72
1023;313;751.14
1023;306;671.29
1023;417;571.13
1023;573;485.40
1023;719;444.12
1023;831;461.21
0;903;530.00
0;883;626.91
0;749;719.12
0;561;775.57
1023;386;777.48
1023;292;723.60
1023;340;631.56
1023;479;532.93
1023;636;462.21
1023;769;444.04
0;865;483.92
0;911;567.68
0;841;666.84
0;676;747.92
0;487;783.80
1023;332;762.31
1023;296;689.98
1023;390;591.03
1023;543;499.71
1023;694;448.03
1023;812;453.71
0;893;513.90
0;897;607.73
0;782;703.43
0;599;768.71
1023;416;781.85
1023;299;737.94
1023;321;651.12
1023;448;550.93
1023;607;472.31
1023;746;442.76
1023;849;471.90
0;908;549.02
0;863;647.74
0;712;734.69
0;522;780.69
1023;355;770.32
1023;290;706.35
1023;364;610.01
1023;512;514.47
1023;666;453.16
1023;791;447.29
0;881;498.07
0;906;587.75
0;811;685.85
0;636;759.25
1023;449;783.52
1023;312;750.21
1023;306;669.85
1023;419;569.56
1023;576;484.23
1023;722;443.80
1023;832;461.85
0;903;531.38
0;882;628.52
0;745;720.35
0;559;775.99
1023;383;776.89
1023;290;722.11
1023;342;629.62
1023;481;531.13
1023;637;461.01
1023;770;443.67
0;867;484.36
0;909;568.58
0;838;667.70
0;673;748.22
0;484;783.24
1023;330;760.91
1023;296;688.01
1023;391;588.94
1023;545;498.03
1023;695;447.13
1023;813;453.64
0;894;514.48
0;897;608.68
0;780;704.33
0;597;769.23
1022;414;781.78
1023;299;737.32
1023;322;650.18
1023;449;549.98
1023;608;471.68
1023;747;442.66
1023;851;472.36
0;909;549.90
0;862;648.79
0;710;735.57
0;520;781.15
1023;354;770.22
1023;291;705.77
1023;366;609.24
1023;514;513.92
1023;669;453.24
1023;793;448.15
0;882;499.58
0;905;589.52
0;810;687.43
0;634;760.28
