pulse;butterworth;filter
9
1023;333;194.59
1023;469;509.43
1023;626;629.69
1023;761;509.43
0;860;194.59
0;909;-194.59
0;847;-509.43
0;686;-629.69
0;496;-629.69
1023;338;-389.17
1023;295;0.00
1023;383;389.17
1023;536;629.69
1023;687;629.69
1023;807;509.43
0;890;194.59
0;899;-194.59
0;787;-509.43
0;606;-629.69
1023;422;-509.43
1023;302;-194.59
1023;318;194.59
1023;444;509.43
1023;602;629.69
1023;742;509.43
1023;847;314.85
0;908;0.00
0;866;-314.85
0;716;-509.43
0;526;-629.69
1022;358;-509.55
1023;291;-194.78
1023;362;194.40
1023;510;509.32
1023;664;629.69
1023;790;509.55
0;880;194.78
0;905;-194.40
0;813;-509.32
0;637;-629.69
1023;451;-509.43
1023;312;-194.59
1023;307;194.59
1023;419;509.43
1023;576;629.69
1023;721;509.43
1023;831;314.85
0;902;0.00
0;882;-314.85
0;745;-509.43
0;557;-629.69
1023;382;-509.43
1023;292;-194.59
1023;343;194.59
1023;484;509.43
1023;640;629.69
1023;772;509.43
0;867;194.59
0;909;-194.59
0;836;-509.43
0;669;-629.69
0;480;-629.69
1022;328;-389.29
1023;297;-0.19
1023;396;388.98
1023;550;629.58
1023;699;629.69
1023;816;509.55
0;896;194.78
0;893;-194.40
0;773;-509.32
0;589;-629.69
1023;407;-509.43
1023;298;-194.59
1023;327;194.59
1023;458;509.43
1023;615;629.69
1023;753;509.43
1023;855;314.85
0;909;0.00
0;856;-314.85
0;699;-509.43
0;509;-629.69
1023;347;-509.43
1023;292;-194.59
1023;374;194.59
1023;524;509.43
1023;677;629.69
1023;800;509.43
0;885;194.59
0;902;-194.59
0;799;-509.43
0;619;-629.69
1023;435;-509.43
1023;306;-194.59
1023;312;194.59
1023;433;509.43
1023;590;629.69
1023;733;509.43
1023;840;314.85
0;906;0.00
0;873;-314.85
0;729;-509.43
0;539;-629.69
1023;368;-509.43
1023;292;-194.59
1023;354;194.59
1023;498;509.43
1023;654;629.69
1023;781;509.43
0;875;194.59
0;907;-194.59
0;823;-509.43
0;651;-629.69
0;463;-629.69
1023;318;-389.17
1023;303;0.00
1023;408;389.17
1023;565;629.69
1023;712;629.69
1023;825;509.43
0;900;194.59
0;887;-194.59
0;758;-509.43
0;571;-629.69
1023;393;-509.43
1023;294;-194.59
1023;335;194.59
1023;472;509.43
1023;630;629.69
1023;764;509.43
0;862;194.59
0;910;-194.59
0;844;-509.43
0;682;-629.69
0;493;-629.69
1023;336;-389.17
1023;295;0.00
1023;385;389.17
1023;539;629.69
1023;689;629.69
1023;809;509.43
0;891;194.59
0;898;-194.59
0;785;-509.43
0;602;-629.69
1023;419;-509.43
1023;301;-194.59
1023;320;194.59
1023;447;509.43
1023;605;629.69
1023;744;509.43
1023;849;314.85
0;908;0.00
0;863;-314.85
0;712;-509.43
0;523;-629.69
1023;356;-509.43
1023;292;-194.59
1023;365;194.59
1023;513;509.43
1023;666;629.69
1023;792;509.43
0;881;194.59
0;905;-194.59
0;810;-509.43
0;633;-629.69
1023;447;-509.43
1023;311;-194.59
1023;308;194.59
1023;421;509.43
1023;579;629.69
1023;724;509.43
1023;834;314.85
0;904;0.00
0;879;-314.85
0;742;-509.43
0;553;-629.69
1023;378;-509.43
1023;292;-194.59
1023;345;194.59
1023;486;509.43
1023;643;629.69
1023;774;509.43
0;869;194.59
0;909;-194.59
0;833;-509.43
0;666;-629.69
0;476;-629.69
1023;326;-389.17
1023;299;0.00
1023;398;389.17
1023;553;629.69
1023;702;629.69
1023;818;509.43
0;896;194.59
0;892;-194.59
0;770;-509.43
0;585;-629.69
1022;404;-509.55
